,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.0,1.9268817901611328,1.7522056102752686,1.4261665344238281,1.0245404243469238,0.6523725986480713,0.2701377868652344,,,,,,,,,,,,
1.0,1.6022768020629883,1.132493257522583,0.703838586807251,0.15309429168701172,,,,,,,,,,,,,,
2.0,1.75223708152771,1.4809784889221191,1.242356777191162,0.7824666500091553,0.13426494598388672,,,,,,,,,,,,,
3.0,1.6847264766693115,1.1076979637145996,0.6767351627349854,0.1320962905883789,,,,,,,,,,,,,,
4.0,1.5085721015930176,1.0193581581115723,0.5678291320800781,0.11415481567382812,,,,,,,,,,,,,,
5.0,1.9297966957092285,1.6530697345733643,1.2479631900787354,0.8661975860595703,0.5884437561035156,0.20131254196166992,,,,,,,,,,,,
6.0,1.3898627758026123,1.0699174404144287,0.6328117847442627,0.15152978897094727,,,,,,,,,,,,,,
7.0,1.7046325206756592,1.4247453212738037,1.232750654220581,0.18183517456054688,,,,,,,,,,,,,,
8.0,0.922534704208374,0.38465046882629395,,,,,,,,,,,,,,,,
9.0,1.9245963096618652,1.762678623199463,1.417963981628418,1.3798599243164062,1.0873057842254639,0.789254903793335,0.3928813934326172,0.2239210605621338,,,,,,,,,,
10.0,1.9216527938842773,1.6031606197357178,1.3267638683319092,0.9223108291625977,0.5209548473358154,0.1084291934967041,,,,,,,,,,,,
11.0,1.4652106761932373,1.0631122589111328,0.7292437553405762,0.38455820083618164,,,,,,,,,,,,,,
12.0,1.9868578910827637,2.161548137664795,1.474604845046997,1.208498239517212,1.0874245166778564,1.189744234085083,0.9066331386566162,0.7153358459472656,0.7100045680999756,0.8422839641571045,0.1628873348236084,,,,,,,
13.0,1.9833989143371582,1.4493260383605957,1.1058077812194824,0.6850106716156006,0.10994362831115723,,,,,,,,,,,,,
14.0,1.7085678577423096,1.4634854793548584,1.4331138134002686,1.1166636943817139,1.0004324913024902,0.41240429878234863,,,,,,,,,,,,
15.0,1.8679566383361816,1.2381250858306885,0.11663389205932617,,,,,,,,,,,,,,,
16.0,1.808520793914795,1.8205375671386719,1.460555076599121,1.1438531875610352,1.0336689949035645,0.7375214099884033,0.14267206192016602,,,,,,,,,,,
17.0,1.6113271713256836,1.3540995121002197,1.0082852840423584,0.14129948616027832,,,,,,,,,,,,,,
18.0,1.1948049068450928,0.8246920108795166,0.3514058589935303,,,,,,,,,,,,,,,
19.0,1.296987533569336,0.8980157375335693,0.48660802841186523,,,,,,,,,,,,,,,
20.0,1.5355229377746582,1.7284879684448242,1.243135690689087,0.8468413352966309,0.41268038749694824,0.10821843147277832,,,,,,,,,,,,
21.0,2.0021889209747314,1.979179859161377,1.5720927715301514,1.4257917404174805,1.0943388938903809,0.8645482063293457,0.1568617820739746,,,,,,,,,,,
22.0,2.062920093536377,1.4093058109283447,1.1363756656646729,0.8615481853485107,0.25493597984313965,,,,,,,,,,,,,
23.0,1.7089879512786865,1.6320571899414062,1.2416293621063232,0.7825891971588135,0.3608987331390381,,,,,,,,,,,,,
24.0,2.182812213897705,2.090416431427002,1.819610595703125,1.4891071319580078,1.2271733283996582,0.9319972991943359,1.0262322425842285,0.968360185623169,0.6664543151855469,0.6233363151550293,0.12115836143493652,,,,,,,
25.0,1.493598222732544,1.3063316345214844,0.6708195209503174,0.323775053024292,,,,,,,,,,,,,,
26.0,1.7585606575012207,1.8623192310333252,1.6549067497253418,1.3026981353759766,0.9443879127502441,0.4496948719024658,,,,,,,,,,,,
27.0,1.8850483894348145,1.7642126083374023,1.5277175903320312,1.3490808010101318,1.1242737770080566,0.5560393333435059,0.137481689453125,,,,,,,,,,,
28.0,1.8582913875579834,2.090498685836792,1.7144889831542969,1.6300506591796875,0.853161096572876,0.47782301902770996,,,,,,,,,,,,
29.0,1.4201204776763916,0.9887950420379639,0.39957284927368164,,,,,,,,,,,,,,,
30.0,1.6718528270721436,1.243795394897461,0.6736006736755371,0.11695313453674316,,,,,,,,,,,,,,
31.0,1.684445858001709,1.242056131362915,1.2757337093353271,0.37828636169433594,,,,,,,,,,,,,,
32.0,1.5923817157745361,1.0299506187438965,0.3940870761871338,,,,,,,,,,,,,,,
33.0,1.8827672004699707,1.6326258182525635,1.2376015186309814,0.8123936653137207,0.42992067337036133,,,,,,,,,,,,,
34.0,1.8397903442382812,1.8810570240020752,1.3652935028076172,0.8480658531188965,0.5309808254241943,0.10739827156066895,,,,,,,,,,,,
35.0,1.80324387550354,1.5147182941436768,1.1193351745605469,0.5678920745849609,0.16370010375976562,,,,,,,,,,,,,
36.0,1.3067724704742432,0.831794261932373,0.3811802864074707,,,,,,,,,,,,,,,
37.0,1.8530657291412354,1.5090935230255127,1.2645978927612305,0.6267168521881104,0.15569305419921875,,,,,,,,,,,,,
38.0,1.8074169158935547,1.3230369091033936,0.8733925819396973,0.35216522216796875,,,,,,,,,,,,,,
39.0,1.2611212730407715,0.6356353759765625,0.1261441707611084,,,,,,,,,,,,,,,
40.0,1.286545753479004,0.8746094703674316,0.39135050773620605,,,,,,,,,,,,,,,
41.0,1.3409149646759033,0.9533360004425049,0.44481468200683594,,,,,,,,,,,,,,,
42.0,1.9295611381530762,1.1951854228973389,0.7148208618164062,0.12769389152526855,,,,,,,,,,,,,,
43.0,1.2983534336090088,0.8542165756225586,0.37188220024108887,,,,,,,,,,,,,,,
44.0,1.6097216606140137,1.1963989734649658,0.9628376960754395,0.8334286212921143,0.1966714859008789,,,,,,,,,,,,,
