,ZRem_started_ZRem_won,UCT1_started_ZRem_won,ZRem_started_Tie,UCT1_started_Tie,ZRem_started_UCT1_won,UCT1_started_UCT1_won
0,,10.0,,,,
1,,14.0,,,,
2,9.0,,,,,
3,11.0,,,,,
4,9.0,,,,,
5,,20.0,,,,
6,,10.0,,,,
7,21.0,,,,,
8,9.0,,,,,
9,,22.0,,,,
