,Flat_started_Flat_won,UCT1_started_Flat_won,Flat_started_Tie,UCT1_started_Tie,Flat_started_UCT1_won,UCT1_started_UCT1_won
0,,12.0,,,,
1,,10.0,,,,
2,,10.0,,,,
3,,,,,,21.0
4,9.0,,,,,
5,,12.0,,,,
6,11.0,,,,,
7,,,,,10.0,
8,,14.0,,,,
9,9.0,,,,,
