,Zero_started_Zero_won,ZRem_started_Zero_won,Zero_started_Tie,ZRem_started_Tie,Zero_started_ZRem_won,ZRem_started_ZRem_won
0,31.0,,,,,
1,31.0,,,,,
2,,,,,,31.0
3,,,,,,31.0
4,31.0,,,,,
5,,,,,,31.0
6,31.0,,,,,
7,,,,,,31.0
8,,,,,,31.0
9,,,,,,31.0
