,Zero_started_Zero_won,UCT1_started_Zero_won,Zero_started_Tie,UCT1_started_Tie,Zero_started_UCT1_won,UCT1_started_UCT1_won
0,,,64.0,,,
1,19.0,,,,,
2,,36.0,,,,
3,9.0,,,,,
4,,18.0,,,,
5,,14.0,,,,
6,9.0,,,,,
7,9.0,,,,,
8,9.0,,,,,
9,9.0,,,,,
