,ZRem_started_ZRem_won,UCT1_started_ZRem_won,ZRem_started_Tie,UCT1_started_Tie,ZRem_started_UCT1_won,UCT1_started_UCT1_won
0,,10.0,,,,
1,,8.0,,,,
2,,8.0,,,,
3,,16.0,,,,
4,9.0,,,,,
5,,8.0,,,,
6,7.0,,,,,
7,,18.0,,,,
8,,8.0,,,,
9,13.0,,,,,
