,Flat_started_Flat_won,UCT1_started_Flat_won,Flat_started_Tie,UCT1_started_Tie,Flat_started_UCT1_won,UCT1_started_UCT1_won
0,,,,,36.0,
1,,10.0,,,,
2,,10.0,,,,
3,,12.0,,,,
4,15.0,,,,,
5,9.0,,,,,
6,9.0,,,,,
7,9.0,,,,,
8,11.0,,,,,
9,25.0,,,,,
