,Flat_started_Flat_won,ZRem_started_Flat_won,Flat_started_Tie,ZRem_started_Tie,Flat_started_ZRem_won,ZRem_started_ZRem_won
0,,,,,12.0,
1,,,,,,23.0
2,,,,,12.0,
3,,,,,,23.0
4,,,,,12.0,
5,,,,,12.0,
6,,,,,,23.0
7,,,,,,23.0
8,,,,,,23.0
9,,,,,12.0,
