,Flat_started_Flat_won,UCT3_started_Flat_won,Flat_started_Tie,UCT3_started_Tie,Flat_started_UCT3_won,UCT3_started_UCT3_won
0,,,,,,9.0
1,7.0,,,,,
2,11.0,,,,,
3,7.0,,,,,
4,,,,,,15.0
5,,,,,,11.0
6,,12.0,,,,
7,9.0,,,,,
8,11.0,,,,,
9,7.0,,,,,
