,Flat_started_Flat_won,UCT6_started_Flat_won,Flat_started_Tie,UCT6_started_Tie,Flat_started_UCT6_won,UCT6_started_UCT6_won
0,7.0,,,,,
1,,,,,,11.0
2,,14.0,,,,
3,,10.0,,,,
4,11.0,,,,,
5,,14.0,,,,
6,15.0,,,,,
7,,12.0,,,,
8,,8.0,,,,
9,7.0,,,,,
