,ZRem_started_ZRem_won,UCT3_started_ZRem_won,ZRem_started_Tie,UCT3_started_Tie,ZRem_started_UCT3_won,UCT3_started_UCT3_won
0,,10.0,,,,
1,7.0,,,,,
2,,14.0,,,,
3,,12.0,,,,
4,9.0,,,,,
5,7.0,,,,,
6,,10.0,,,,
7,,14.0,,,,
8,11.0,,,,,
9,,12.0,,,,
