,Flat_started_Flat_won,UCT1_started_Flat_won,Flat_started_Tie,UCT1_started_Tie,Flat_started_UCT1_won,UCT1_started_UCT1_won
0,7.0,,,,,
1,7.0,,,,,
2,9.0,,,,,
3,,8.0,,,,
4,9.0,,,,,
5,7.0,,,,,
6,7.0,,,,,
7,7.0,,,,,
8,,8.0,,,,
9,7.0,,,,,
