[2023-12-05 14:24:48,275] Filepath does not exist: ./models_dens2/best.h5
[2023-12-05 14:24:48,275] Initializing new model
[2023-12-05 14:26:46,556] Epoch 69, Loss 77.19689178466797, Lr: 0.00100000
[2023-12-05 14:26:48,227] Epoch 70, Loss 63.389312744140625, Lr: 0.00100000
[2023-12-05 14:26:52,772] Epoch 71, Loss 133.22012329101562, Lr: 0.00100000
[2023-12-05 14:26:55,930] Epoch 72, Loss 55.58870315551758, Lr: 0.00100000
[2023-12-05 14:26:56,916] Epoch 73, Loss 30.174564361572266, Lr: 0.00100000
[2023-12-05 14:26:58,039] Epoch 74, Loss 25.54180145263672, Lr: 0.00100000
[2023-12-05 14:27:00,425] Epoch 75, Loss 126.17838287353516, Lr: 0.00100000
[2023-12-05 14:27:01,836] Epoch 76, Loss 43.53133773803711, Lr: 0.00100000
[2023-12-05 14:27:03,943] Epoch 77, Loss 31.46666717529297, Lr: 0.00100000
[2023-12-05 14:27:05,911] Epoch 78, Loss 47.045841217041016, Lr: 0.00100000
[2023-12-05 14:27:06,831] Epoch 79, Loss 35.95753479003906, Lr: 0.00100000
[2023-12-05 14:27:09,332] Epoch 80, Loss 32.552978515625, Lr: 0.00100000
[2023-12-05 14:27:11,219] Epoch 81, Loss 36.83384323120117, Lr: 0.00100000
[2023-12-05 14:27:12,718] Epoch 82, Loss 36.47677230834961, Lr: 0.00100000
[2023-12-05 14:27:17,508] Epoch 83, Loss 21.7362060546875, Lr: 0.00100000
[2023-12-05 14:27:19,752] Epoch 84, Loss 31.285751342773438, Lr: 0.00100000
[2023-12-05 14:27:21,279] Epoch 85, Loss 46.97262191772461, Lr: 0.00100000
[2023-12-05 14:27:24,228] Epoch 86, Loss 113.55748748779297, Lr: 0.00100000
[2023-12-05 14:27:24,564] Epoch 87, Loss 11.461663246154785, Lr: 0.00100000
[2023-12-05 14:27:29,540] Epoch 88, Loss 44.625492095947266, Lr: 0.00100000
[2023-12-05 14:27:30,013] Epoch 89, Loss 10.891366958618164, Lr: 0.00100000
[2023-12-05 14:27:33,297] Epoch 90, Loss 85.112548828125, Lr: 0.00100000
[2023-12-05 14:27:34,441] Epoch 91, Loss 31.78753089904785, Lr: 0.00100000
[2023-12-05 14:27:37,384] Epoch 92, Loss 151.83644104003906, Lr: 0.00100000
[2023-12-05 14:27:38,310] Epoch 93, Loss 36.147708892822266, Lr: 0.00100000
[2023-12-05 14:27:41,090] Epoch 94, Loss 90.63946533203125, Lr: 0.00100000
[2023-12-05 14:27:45,884] Epoch 95, Loss 144.20217895507812, Lr: 0.00100000
[2023-12-05 14:27:48,256] Epoch 96, Loss 46.358028411865234, Lr: 0.00100000
[2023-12-05 14:27:49,446] Epoch 97, Loss 21.67915153503418, Lr: 0.00100000
[2023-12-05 14:27:50,595] Epoch 98, Loss 67.29054260253906, Lr: 0.00100000
[2023-12-05 14:27:52,596] Epoch 99, Loss 95.03900146484375, Lr: 0.00100000
[2023-12-05 14:27:54,247] Epoch 100, Loss 34.79469299316406, Lr: 0.00100000
[2023-12-05 14:27:59,589] Epoch 101, Loss 6.0994110107421875, Lr: 0.00100000
[2023-12-05 14:28:00,951] Epoch 102, Loss 19.485107421875, Lr: 0.00100000
[2023-12-05 14:28:04,007] Epoch 103, Loss 58.865089416503906, Lr: 0.00100000
[2023-12-05 14:28:05,524] Epoch 104, Loss 38.10546875, Lr: 0.00100000
[2023-12-05 14:28:07,210] Epoch 105, Loss 41.920040130615234, Lr: 0.00100000
[2023-12-05 14:28:11,182] Epoch 106, Loss 95.95630645751953, Lr: 0.00100000
[2023-12-05 14:28:13,956] Epoch 107, Loss 62.911163330078125, Lr: 0.00100000
[2023-12-05 14:28:14,508] Epoch 108, Loss 12.380365371704102, Lr: 0.00100000
[2023-12-05 14:28:15,417] Epoch 109, Loss 16.638545989990234, Lr: 0.00100000
[2023-12-05 14:28:15,876] Epoch 110, Loss 12.867100715637207, Lr: 0.00100000
[2023-12-05 14:28:17,991] Epoch 111, Loss 26.505250930786133, Lr: 0.00100000
[2023-12-05 14:28:21,875] Epoch 112, Loss 105.90198516845703, Lr: 0.00100000
[2023-12-05 14:28:22,302] Epoch 113, Loss 12.620328903198242, Lr: 0.00100000
[2023-12-05 14:28:23,666] Epoch 114, Loss 35.81852722167969, Lr: 0.00100000
[2023-12-05 14:28:24,679] Epoch 115, Loss 23.886547088623047, Lr: 0.00100000
[2023-12-05 14:28:26,133] Epoch 116, Loss 30.373668670654297, Lr: 0.00100000
[2023-12-05 14:28:28,569] Epoch 117, Loss 31.329666137695312, Lr: 0.00100000
[2023-12-05 14:28:31,350] Epoch 118, Loss 191.00518798828125, Lr: 0.00100000
[2023-12-05 14:28:33,500] Epoch 119, Loss 31.761730194091797, Lr: 0.00100000
[2023-12-05 14:28:35,382] Epoch 120, Loss 44.39701843261719, Lr: 0.00100000
[2023-12-05 14:28:38,506] Epoch 121, Loss 119.65437316894531, Lr: 0.00100000
[2023-12-05 14:28:39,044] Epoch 122, Loss 30.4768123626709, Lr: 0.00100000
