,Flat_started_Flat_won,Zero_started_Flat_won,Flat_started_Tie,Zero_started_Tie,Flat_started_Zero_won,Zero_started_Zero_won
0,,,,,34.0,
1,,,,,34.0,
2,,,,,,17.0
3,,,,,34.0,
4,,,,,,17.0
5,,,,,,17.0
6,,,,,,17.0
7,,,,,,17.0
8,,,,,,17.0
9,,,,,36.0,
