,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,2.960230827331543,3.3323915004730225,2.9638309478759766,3.1950762271881104,0.2626972198486328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.8418567180633545,4.193635702133179,3.538039207458496,3.281057357788086,2.2007970809936523,1.2632360458374023,1.3492662906646729,1.459486484527588,1.38311767578125,1.1441378593444824,1.3527250289916992,1.0919690132141113,1.0621776580810547,1.874084711074829,1.1425676345825195,0.88999342918396,0.8444416522979736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.3332879543304443,2.504962682723999,2.9688334465026855,2.6646673679351807,2.1572957038879395,2.410829782485962,2.006197452545166,0.691641092300415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,2.413170099258423,2.2863595485687256,2.450119733810425,2.6284689903259277,2.417576551437378,3.026965856552124,2.36849045753479,2.8417305946350098,2.525115489959717,1.9061503410339355,2.0588200092315674,1.951720952987671,1.676191806793213,0.26685357093811035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.900486707687378,2.9711198806762695,2.476801633834839,2.139916181564331,2.3654682636260986,2.1813669204711914,2.2819976806640625,2.003739833831787,1.3081378936767578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,2.4754855632781982,3.0158450603485107,3.794055461883545,2.8441390991210938,2.2506842613220215,2.1526246070861816,0.9641709327697754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,3.020502805709839,2.699881076812744,3.391484022140503,2.2789151668548584,1.876997709274292,0.25827646255493164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,2.5375750064849854,2.6615400314331055,2.4847843647003174,2.521317481994629,2.3617053031921387,2.2619621753692627,1.672412395477295,1.76680588722229,1.6505427360534668,1.791837215423584,0.24910902976989746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,2.3653297424316406,2.5799028873443604,2.8052241802215576,2.4664146900177,2.177856206893921,2.143907308578491,1.9436650276184082,1.8906466960906982,1.389369010925293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,2.4169294834136963,2.5160508155822754,3.012542247772217,2.130828380584717,0.5084517002105713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
