,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,11.062600374221802,10.310447692871094,9.737664699554443,9.135879278182983,8.963493585586548,8.506306409835815,8.888033390045166,8.26302695274353,8.006128072738647,7.257021427154541,1.6185710430145264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,10.087691068649292,9.941902160644531,9.3581862449646,8.980176448822021,8.9644033908844,8.03876280784607,6.423956632614136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,10.369585990905762,9.949258804321289,9.521244764328003,9.044745206832886,7.383404731750488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,10.293999195098877,9.88699197769165,9.097716569900513,7.814890623092651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,10.240889310836792,10.097869873046875,9.618798017501831,8.290737867355347,1.5216846466064453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,10.333916187286377,10.142188787460327,9.626132726669312,9.074607133865356,7.395526647567749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,10.417714834213257,9.890456438064575,9.499274253845215,7.8524861335754395,1.5037662982940674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,10.312924861907959,9.78349256515503,9.589910984039307,7.776775598526001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,10.277011632919312,9.698683261871338,9.699183225631714,8.734696865081787,6.899541616439819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,10.20023775100708,9.83560585975647,9.286383390426636,7.188039302825928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,10.520366430282593,10.004881381988525,9.710655927658081,9.173492670059204,6.993908643722534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,10.09827184677124,9.89910101890564,9.135994672775269,8.241874694824219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,10.276282787322998,9.94029188156128,9.140366792678833,8.300472974777222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,10.315091371536255,10.023880958557129,9.599697589874268,8.95299506187439,7.489864349365234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,10.175398588180542,9.760360956192017,9.130321741104126,8.422239780426025,8.808921337127686,8.51645016670227,7.852921485900879,6.6395649909973145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,10.2253098487854,9.965284824371338,9.164113521575928,8.983131647109985,8.836713314056396,8.362843751907349,8.00801682472229,8.058647155761719,7.17207407951355,5.676316738128662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,10.230773210525513,9.83833360671997,8.938114881515503,7.325592756271362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,10.278391361236572,9.732837200164795,9.573403358459473,8.18842625617981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,10.19993805885315,10.113581895828247,9.528985500335693,9.177910804748535,9.055097341537476,8.629254341125488,8.12480616569519,6.288879156112671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,10.187422275543213,10.204514741897583,9.66707158088684,9.041004419326782,9.31513786315918,8.767102003097534,8.056199550628662,1.4279820919036865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,10.297228574752808,10.154347658157349,9.516158819198608,9.197121381759644,8.453405380249023,7.837221145629883,2.176179885864258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,10.03076457977295,9.80754017829895,9.572733402252197,9.281183004379272,8.966945171356201,8.614207983016968,7.838109254837036,6.389352560043335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,10.194820404052734,9.73708963394165,9.222463607788086,7.628208875656128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,10.178931474685669,9.762415885925293,9.019147634506226,7.373014450073242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,10.268970489501953,9.642199993133545,9.111374616622925,7.522939205169678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,10.1662437915802,9.853420495986938,9.056607723236084,7.794339179992676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
