,ZRem_started_ZRem_won,UCT6_started_ZRem_won,ZRem_started_Tie,UCT6_started_Tie,ZRem_started_UCT6_won,UCT6_started_UCT6_won
0,,,,,,11.0
1,11.0,,,,,
2,,,,,,19.0
3,,10.0,,,,
4,9.0,,,,,
5,,,,,,11.0
6,11.0,,,,,
7,,14.0,,,,
8,7.0,,,,,
9,,,,,,13.0
