,ZRem_started_ZRem_won,UCT1_started_ZRem_won,ZRem_started_Tie,UCT1_started_Tie,ZRem_started_UCT1_won,UCT1_started_UCT1_won
0,19.0,,,,,
1,9.0,,,,,
2,,10.0,,,,
3,,,,,,31.0
4,,,,,,15.0
5,9.0,,,,,
6,,10.0,,,,
7,,12.0,,,,
8,,10.0,,,,
9,,10.0,,,,
