,Zero_started_Zero_won,UCT3_started_Zero_won,Zero_started_Tie,UCT3_started_Tie,Zero_started_UCT3_won,UCT3_started_UCT3_won
0,,,,,44.0,
1,,10.0,,,,
2,9.0,,,,,
3,9.0,,,,,
4,,,,,36.0,
5,,20.0,,,,
6,,,,,,25.0
7,,,,,,11.0
8,,26.0,,,,
9,,,,,,23.0
