,Zero_started_Zero_won,UCT6_started_Zero_won,Zero_started_Tie,UCT6_started_Tie,Zero_started_UCT6_won,UCT6_started_UCT6_won
0,,,,,,25.0
1,15.0,,,,,
2,,,,,44.0,
3,,,,,30.0,
4,,28.0,,,,
5,,,,,,13.0
6,,16.0,,,,
7,,,,,46.0,
8,,,,,,13.0
9,,,64.0,,,
