,ZERO_v1_started_ZERO_v1_won,UCT_5000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_5000_started_Tie,ZERO_v1_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,,,,,14.0,
1,,,,,14.0,
2,11.0,,,,,
3,9.0,,,,,
4,,,,,,7.0
5,,,,,28.0,
6,7.0,,,,,
7,,14.0,,,,
8,,,,,,7.0
9,,,,,14.0,
10,,,,,14.0,
11,,,,,,7.0
12,,,,,14.0,
13,,,,,,13.0
14,,,,,,9.0
15,,,,,,7.0
16,11.0,,,,,
17,11.0,,,,,
18,,,,,,7.0
19,,,,,14.0,
20,,,,,,7.0
21,,,,,,7.0
22,11.0,,,,,
23,,,,,,11.0
24,,,,,,11.0
25,11.0,,,,,
26,,,,,,7.0
27,,,,,14.0,
28,,14.0,,,,
29,11.0,,,,,
30,,8.0,,,,
31,,,,,,7.0
32,,,,,,17.0
33,,,,,10.0,
34,,,,,,7.0
35,9.0,,,,,
36,,,,,,7.0
37,,8.0,,,,
38,,14.0,,,,
39,,14.0,,,,
40,,,,,,11.0
41,11.0,,,,,
42,,14.0,,,,
43,,,,,,11.0
44,,,,,,7.0
45,11.0,,,,,
46,,,,,,17.0
47,,,,,,7.0
48,,,,,,7.0
49,,8.0,,,,
