,FLAT_v2_started_FLAT_v2_won,UCT_5000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_5000_started_Tie,FLAT_v2_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,7.0,,,,,
1,9.0,,,,,
2,11.0,,,,,
3,11.0,,,,,
4,7.0,,,,,
5,7.0,,,,,
6,,14.0,,,,
7,11.0,,,,,
8,11.0,,,,,
9,,10.0,,,,
10,17.0,,,,,
11,11.0,,,,,
12,,,,,18.0,
13,,,,,,17.0
14,9.0,,,,,
15,,,,,,11.0
16,7.0,,,,,
17,,,,,,13.0
18,,,,,,9.0
19,11.0,,,,,
20,,,,,,7.0
21,,,,,,17.0
22,7.0,,,,,
23,7.0,,,,,
24,11.0,,,,,
25,7.0,,,,,
26,,,,,,9.0
27,,,,,,17.0
28,,,,,,17.0
29,7.0,,,,,
30,7.0,,,,,
31,,,,,,11.0
32,,,,,,7.0
33,,,,,,17.0
34,,8.0,,,,
35,7.0,,,,,
36,7.0,,,,,
37,11.0,,,,,
38,,,,,,13.0
39,,,,,,9.0
40,,14.0,,,,
41,,,,,,9.0
42,11.0,,,,,
43,,,,,,9.0
44,19.0,,,,,
45,11.0,,,,,
46,,14.0,,,,
47,17.0,,,,,
48,,,,,28.0,
49,,,,,,15.0
