,FLAT_v3_started_FLAT_v3_won,UCT_3000_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_3000_started_Tie,FLAT_v3_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,7.0,,,,,
1,,,,36.0,,
2,,10.0,,,,
3,7.0,,,,,
4,9.0,,,,,
5,7.0,,,,,
6,,,,,,7.0
7,,,,,,13.0
8,7.0,,,,,
9,,,,,,13.0
10,7.0,,,,,
11,7.0,,,,,
12,,8.0,,,,
13,7.0,,,,,
14,13.0,,,,,
15,,,,,,13.0
16,,,,,,9.0
17,7.0,,,,,
18,7.0,,,,,
19,7.0,,,,,
20,7.0,,,,,
21,,,,,,11.0
22,7.0,,,,,
23,,,,,14.0,
24,,,,,,17.0
25,7.0,,,,,
26,,8.0,,,,
27,,,,,,11.0
28,,,,,,17.0
29,7.0,,,,,
30,,8.0,,,,
31,,,,,,9.0
32,,14.0,,,,
33,,14.0,,,,
34,7.0,,,,,
35,,14.0,,,,
36,,,,,,11.0
37,,,,,,15.0
38,,8.0,,,,
39,,,,,,11.0
40,11.0,,,,,
41,,,,,,13.0
42,,,,,,13.0
43,,10.0,,,,
44,,14.0,,,,
45,,,,,,9.0
46,7.0,,,,,
47,,,,,,7.0
48,,14.0,,,,
49,,,,,,17.0
