,ZEROX_v3_started_ZEROX_v3_won,UCT_1000_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_1000_started_Tie,ZEROX_v3_started_UCT_1000_won,UCT_1000_started_UCT_1000_won
0,9.0,,,,,
1,,8.0,,,,
2,7.0,,,,,
3,17.0,,,,,
4,7.0,,,,,
5,,,,,,15.0
6,,,,,,7.0
7,7.0,,,,,
8,7.0,,,,,
9,,,,,,11.0
10,11.0,,,,,
11,7.0,,,,,
12,9.0,,,,,
13,9.0,,,,,
14,7.0,,,,,
15,7.0,,,,,
16,,8.0,,,,
17,7.0,,,,,
18,,,,,,9.0
19,7.0,,,,,
20,7.0,,,,,
21,,8.0,,,,
22,,8.0,,,,
23,,12.0,,,,
24,,8.0,,,,
25,7.0,,,,,
26,,,,,,11.0
27,,8.0,,,,
28,7.0,,,,,
29,7.0,,,,,
30,,12.0,,,,
31,,10.0,,,,
32,7.0,,,,,
33,,12.0,,,,
34,7.0,,,,,
35,,8.0,,,,
36,7.0,,,,,
37,,8.0,,,,
38,7.0,,,,,
39,,8.0,,,,
40,7.0,,,,,
41,9.0,,,,,
42,,8.0,,,,
43,,8.0,,,,
44,7.0,,,,,
45,,8.0,,,,
46,7.0,,,,,
47,,22.0,,,,
48,,12.0,,,,
49,,14.0,,,,
