,ZERO_v3_started_ZERO_v3_won,UCT_4000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_4000_started_Tie,ZERO_v3_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,,13.0
1,11.0,,,,,
2,7.0,,,,,
3,,,,,,17.0
4,,,,,,13.0
5,,10.0,,,,
6,11.0,,,,,
7,,14.0,,,,
8,11.0,,,,,
9,,,,,,11.0
10,,,,,,13.0
11,7.0,,,,,
12,,14.0,,,,
13,,,,,,11.0
14,11.0,,,,,
15,7.0,,,,,
16,,,,,,11.0
17,,,,,,9.0
18,,14.0,,,,
19,7.0,,,,,
20,,8.0,,,,
21,,10.0,,,,
22,11.0,,,,,
23,7.0,,,,,
24,,,,,,9.0
25,,,,,,11.0
26,,,,,,9.0
27,,,,,,17.0
28,,,,,,15.0
29,7.0,,,,,
30,,,,,,13.0
31,11.0,,,,,
32,,,,,,9.0
33,7.0,,,,,
34,7.0,,,,,
35,,,,,,11.0
36,11.0,,,,,
37,,,,,,13.0
38,9.0,,,,,
39,,,,,,11.0
40,7.0,,,,,
41,,,,,,17.0
42,,14.0,,,,
43,9.0,,,,,
44,,14.0,,,,
45,7.0,,,,,
46,7.0,,,,,
47,,14.0,,,,
48,9.0,,,,,
49,,,,,,7.0
