,FLAT_v2_started_FLAT_v2_won,UCT_1000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_1000_started_Tie,FLAT_v2_started_UCT_1000_won,UCT_1000_started_UCT_1000_won
0,7.0,,,,,
1,7.0,,,,,
2,7.0,,,,,
3,7.0,,,,,
4,,8.0,,,,
5,7.0,,,,,
6,7.0,,,,,
7,7.0,,,,,
8,,14.0,,,,
9,9.0,,,,,
10,,,,,,11.0
11,,,,,,13.0
12,11.0,,,,,
13,,8.0,,,,
14,9.0,,,,,
15,11.0,,,,,
16,,8.0,,,,
17,7.0,,,,,
18,9.0,,,,,
19,7.0,,,,,
20,9.0,,,,,
21,7.0,,,,,
22,,10.0,,,,
23,,,,,,11.0
24,7.0,,,,,
25,,10.0,,,,
26,,8.0,,,,
27,,8.0,,,,
28,,8.0,,,,
29,,12.0,,,,
30,,8.0,,,,
31,7.0,,,,,
32,9.0,,,,,
33,,,,,,11.0
34,7.0,,,,,
35,,8.0,,,,
36,,8.0,,,,
37,,10.0,,,,
38,7.0,,,,,
39,,14.0,,,,
40,,8.0,,,,
41,,,,,12.0,
42,,12.0,,,,
43,,,,,,15.0
44,,8.0,,,,
45,,8.0,,,,
46,7.0,,,,,
47,7.0,,,,,
48,,,,,14.0,
49,,8.0,,,,
