,ZEROX_v1_started_ZEROX_v1_won,UCT_5000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_5000_started_Tie,ZEROX_v1_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,,,,,,7.0
1,13.0,,,,,
2,,,,,,7.0
3,,,,,14.0,
4,,,,,,7.0
5,9.0,,,,,
6,,,,,,7.0
7,,,,,,11.0
8,,,,,,7.0
9,,,,,14.0,
10,11.0,,,,,
11,,,,,,7.0
12,,,,,,7.0
13,,,,,14.0,
14,,,,,,7.0
15,,,,,14.0,
16,,,,,14.0,
17,7.0,,,,,
18,,12.0,,,,
19,,,,,,7.0
20,11.0,,,,,
21,,,,,,11.0
22,,,,,,7.0
23,11.0,,,,,
24,,10.0,,,,
25,,,,,14.0,
26,,12.0,,,,
27,,14.0,,,,
28,,,,,14.0,
29,,,,,20.0,
30,7.0,,,,,
31,,,,,,7.0
32,7.0,,,,,
33,11.0,,,,,
34,11.0,,,,,
35,,,,,,17.0
36,11.0,,,,,
37,,,,,,7.0
38,,,,,,7.0
39,17.0,,,,,
40,,,,,10.0,
41,,,,,,7.0
42,,,,,,11.0
43,,,,,,11.0
44,,,,,,7.0
45,,,,,10.0,
46,,,,,,7.0
47,,,,,20.0,
48,,,,,,13.0
49,,,,,,7.0
