,FLAT_v1_started_FLAT_v1_won,ZEROX_v1_started_FLAT_v1_won,FLAT_v1_started_Tie,ZEROX_v1_started_Tie,FLAT_v1_started_ZEROX_v1_won,ZEROX_v1_started_ZEROX_v1_won
0,,,,,,11.0
1,,,,,16.0,
2,,,,,,9.0
3,,,,,12.0,
4,,,,,,11.0
5,,,,,,19.0
6,,,,,,21.0
7,,,,,,11.0
8,,,,,10.0,
9,,,,,8.0,
10,15.0,,,,,
11,,,,,,15.0
12,,,,,,13.0
13,,,,,,15.0
14,,,,,12.0,
15,,,,,,21.0
16,,,,,,11.0
17,,,,,10.0,
18,,,,,12.0,
19,13.0,,,,,
20,,,,,,13.0
21,,,,,,11.0
22,,,,,12.0,
23,,,,,,13.0
24,,,,,30.0,
25,,,,,16.0,
26,,,,,10.0,
27,,,,,,11.0
28,,,,,,11.0
29,,,,,,7.0
30,,,,,14.0,
31,,,,,,19.0
32,,,,,26.0,
33,,,,,,13.0
34,,,,,14.0,
35,,,,,,11.0
36,,,,,,9.0
37,19.0,,,,,
38,,,,,,11.0
39,,,,,14.0,
40,,,36.0,,,
41,,,,,,11.0
42,,,,,12.0,
43,,,,,12.0,
44,,,,,8.0,
45,,,,,,13.0
46,,,,,24.0,
47,,,,,10.0,
48,,,,,10.0,
49,,,,,34.0,
