,FLAT_v1_started_FLAT_v1_won,UCT_2000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_2000_started_Tie,FLAT_v1_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,8.0,,,,
1,,,,,,9.0
2,,,,,12.0,
3,9.0,,,,,
4,7.0,,,,,
5,,,,,,7.0
6,,,,,,7.0
7,11.0,,,,,
8,,,,,,11.0
9,,,,,10.0,
10,7.0,,,,,
11,,,,,,11.0
12,,,,,10.0,
13,7.0,,,,,
14,,,,,,7.0
15,,,,,,13.0
16,,10.0,,,,
17,15.0,,,,,
18,,,,,14.0,
19,7.0,,,,,
20,,,,,,7.0
21,,,,,,11.0
22,,,,,14.0,
23,,,,,,7.0
24,,10.0,,,,
25,,,,,,7.0
26,11.0,,,,,
27,,,,,14.0,
28,,8.0,,,,
29,7.0,,,,,
30,,8.0,,,,
31,,10.0,,,,
32,,,,,,7.0
33,11.0,,,,,
34,,,,,,7.0
35,,,,,,9.0
36,,,,,,9.0
37,7.0,,,,,
38,,,,,,11.0
39,,,,,10.0,
40,11.0,,,,,
41,,,,,20.0,
42,,,,,14.0,
43,,,,,22.0,
44,,,,,,11.0
45,,10.0,,,,
46,7.0,,,,,
47,,10.0,,,,
48,,8.0,,,,
49,11.0,,,,,
