,ZEROX_v3_started_ZEROX_v3_won,UCT_4000_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_4000_started_Tie,ZEROX_v3_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,7.0,,,,,
1,7.0,,,,,
2,7.0,,,,,
3,7.0,,,,,
4,7.0,,,,,
5,7.0,,,,,
6,7.0,,,,,
7,11.0,,,,,
8,7.0,,,,,
9,,,,,,13.0
10,9.0,,,,,
11,11.0,,,,,
12,,,,,,9.0
13,,,,,,11.0
14,,12.0,,,,
15,,8.0,,,,
16,,14.0,,,,
17,,,,,,17.0
18,,,,,,9.0
19,,,,,,13.0
20,,,,,,9.0
21,11.0,,,,,
22,11.0,,,,,
23,,,,,,11.0
24,7.0,,,,,
25,,,,,,9.0
26,,,,,,13.0
27,,12.0,,,,
28,,,,,,17.0
29,7.0,,,,,
30,,16.0,,,,
31,,14.0,,,,
32,7.0,,,,,
33,,,,,,13.0
34,,,,,,11.0
35,11.0,,,,,
36,,14.0,,,,
37,7.0,,,,,
38,7.0,,,,,
39,,,,,,17.0
40,,14.0,,,,
41,,,,,,9.0
42,,8.0,,,,
43,15.0,,,,,
44,7.0,,,,,
45,7.0,,,,,
46,,,,,,9.0
47,,14.0,,,,
48,7.0,,,,,
49,,14.0,,,,
