,ZERO_v3_started_ZERO_v3_won,UCT_1000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_1000_started_Tie,ZERO_v3_started_UCT_1000_won,UCT_1000_started_UCT_1000_won
0,7.0,,,,,
1,7.0,,,,,
2,9.0,,,,,
3,7.0,,,,,
4,7.0,,,,,
5,,12.0,,,,
6,,10.0,,,,
7,7.0,,,,,
8,,12.0,,,,
9,,12.0,,,,
10,7.0,,,,,
11,,8.0,,,,
12,,,,,,11.0
13,,8.0,,,,
14,7.0,,,,,
15,7.0,,,,,
16,7.0,,,,,
17,,12.0,,,,
18,7.0,,,,,
19,,10.0,,,,
20,,8.0,,,,
21,,10.0,,,,
22,,10.0,,,,
23,,8.0,,,,
24,7.0,,,,,
25,,,,,,15.0
26,7.0,,,,,
27,7.0,,,,,
28,,,,,,13.0
29,,10.0,,,,
30,7.0,,,,,
31,,12.0,,,,
32,,8.0,,,,
33,7.0,,,,,
34,9.0,,,,,
35,7.0,,,,,
36,7.0,,,,,
37,11.0,,,,,
38,9.0,,,,,
39,7.0,,,,,
40,7.0,,,,,
41,,8.0,,,,
42,9.0,,,,,
43,,8.0,,,,
44,7.0,,,,,
45,,,,,,15.0
46,,14.0,,,,
47,11.0,,,,,
48,7.0,,,,,
49,9.0,,,,,
