,ZERO_v3_started_ZERO_v3_won,UCT_5000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_5000_started_Tie,ZERO_v3_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,,8.0,,,,
1,,14.0,,,,
2,7.0,,,,,
3,11.0,,,,,
4,,14.0,,,,
5,7.0,,,,,
6,,8.0,,,,
7,7.0,,,,,
8,7.0,,,,,
9,,8.0,,,,
10,7.0,,,,,
11,,10.0,,,,
12,,10.0,,,,
13,11.0,,,,,
14,7.0,,,,,
15,9.0,,,,,
16,,14.0,,,,
17,19.0,,,,,
18,15.0,,,,,
19,,,,,,17.0
20,,,,,,7.0
21,11.0,,,,,
22,11.0,,,,,
23,,,,,,13.0
24,7.0,,,,,
25,7.0,,,,,
26,,14.0,,,,
27,,14.0,,,,
28,7.0,,,,,
29,,,,,,11.0
30,9.0,,,,,
31,9.0,,,,,
32,,,,,,9.0
33,7.0,,,,,
34,,,,,,21.0
35,7.0,,,,,
36,7.0,,,,,
37,11.0,,,,,
38,7.0,,,,,
39,7.0,,,,,
40,11.0,,,,,
41,11.0,,,,,
42,,,,,,9.0
43,,,,,,9.0
44,7.0,,,,,
45,,14.0,,,,
46,11.0,,,,,
47,7.0,,,,,
48,7.0,,,,,
49,7.0,,,,,
