,FLAT_v2_started_FLAT_v2_won,FLAT_v3_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v3_started_Tie,FLAT_v2_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,,12.0,,,,
1,,,,,,9.0
2,,,,,,7.0
3,,,,,8.0,
4,,8.0,,,,
5,15.0,,,,,
6,,,,,,11.0
7,9.0,,,,,
8,,,,,8.0,
9,,,,,8.0,
10,7.0,,,,,
11,13.0,,,,,
12,9.0,,,,,
13,15.0,,,,,
14,,,,36.0,,
15,9.0,,,,,
16,9.0,,,,,
17,9.0,,,,,
18,7.0,,,,,
19,7.0,,,,,
20,,,,,14.0,
21,,,,,,13.0
22,7.0,,,,,
23,13.0,,,,,
24,17.0,,,,,
25,,,,,8.0,
26,,,,,,9.0
27,17.0,,,,,
28,,,,,,11.0
29,,,,,10.0,
30,9.0,,,,,
31,,12.0,,,,
32,,,,,,21.0
33,9.0,,,,,
34,11.0,,,,,
35,13.0,,,,,
36,,,,,,15.0
37,,,,,12.0,
38,9.0,,,,,
39,,,,,12.0,
40,9.0,,,,,
41,13.0,,,,,
42,,,,,12.0,
43,7.0,,,,,
44,,,,,,15.0
45,,,,,,15.0
46,,,,,,7.0
47,,,,,,13.0
48,13.0,,,,,
49,,,,,,13.0
