,ZERO_v1_started_ZERO_v1_won,ZERO_v2_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v2_started_Tie,ZERO_v1_started_ZERO_v2_won,ZERO_v2_started_ZERO_v2_won
0,15.0,,,,,
1,,,,,,17.0
2,,,,,,9.0
3,,,,,,17.0
4,,,,36.0,,
5,,,,,,9.0
6,,,,,,7.0
7,11.0,,,,,
8,,,,,,9.0
9,9.0,,,,,
10,,,,,,9.0
11,,,,,12.0,
12,,,,,,7.0
13,15.0,,,,,
14,,,,,,11.0
15,,,,,12.0,
16,,8.0,,,,
17,,,,,,9.0
18,,,,,,11.0
19,,,36.0,,,
20,,,,,,7.0
21,,,,,,9.0
22,13.0,,,,,
23,11.0,,,,,
24,,,,,,9.0
25,17.0,,,,,
26,,,,,12.0,
27,,,,,,7.0
28,,,,,8.0,
29,,,,,,9.0
30,,,,,,9.0
31,11.0,,,,,
32,,,,,,7.0
33,,,,,14.0,
34,,,,,12.0,
35,,,,,,13.0
36,,,,,,9.0
37,,,,,,13.0
38,,,,,18.0,
39,,,,,,7.0
40,,,,,,7.0
41,,8.0,,,,
42,,,,,12.0,
43,,,,,,7.0
44,,,,,,11.0
45,,,,,20.0,
46,,,,,16.0,
47,,,,,12.0,
48,,,36.0,,,
49,,,,,,7.0
