,FLAT_v1_started_FLAT_v1_won,UCT_5000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_5000_started_Tie,FLAT_v1_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,,,,,12.0,
1,,,,,10.0,
2,,,,,,9.0
3,,,,,,9.0
4,,,,,12.0,
5,,,,,12.0,
6,,,,,,9.0
7,,,,,32.0,
8,,,,,12.0,
9,11.0,,,,,
10,7.0,,,,,
11,,,,,14.0,
12,,,,,,7.0
13,,,,,10.0,
14,,,,,,9.0
15,,,,,18.0,
16,,,,,,9.0
17,,,,,,11.0
18,,,,,,9.0
19,,,,,12.0,
20,,,,,,11.0
21,,,,,,7.0
22,,,,,,9.0
23,,,,,,11.0
24,,,,,,7.0
25,,,,,,9.0
26,,,,,,11.0
27,,,,,,11.0
28,,,,,16.0,
29,15.0,,,,,
30,11.0,,,,,
31,,,,,,9.0
32,,,,,14.0,
33,,,,,,11.0
34,,,,,14.0,
35,,,,,12.0,
36,,,,,,7.0
37,,,,,,7.0
38,,,,,,9.0
39,9.0,,,,,
40,,,,,,9.0
41,,,,,12.0,
42,,,,,12.0,
43,,,,,,9.0
44,,,,,,11.0
45,,,,,14.0,
46,,,,,,7.0
47,21.0,,,,,
48,,,,,14.0,
49,,,,,,9.0
