,FLAT_v3_started_FLAT_v3_won,UCT_5000_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_5000_started_Tie,FLAT_v3_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,,,,,12.0,
1,11.0,,,,,
2,7.0,,,,,
3,,,,,,13.0
4,,,,,,11.0
5,,10.0,,,,
6,9.0,,,,,
7,,14.0,,,,
8,,,,,,11.0
9,7.0,,,,,
10,,14.0,,,,
11,11.0,,,,,
12,,18.0,,,,
13,,12.0,,,,
14,,,,,,15.0
15,11.0,,,,,
16,11.0,,,,,
17,9.0,,,,,
18,9.0,,,,,
19,13.0,,,,,
20,,,,,,11.0
21,7.0,,,,,
22,7.0,,,,,
23,7.0,,,,,
24,7.0,,,,,
25,11.0,,,,,
26,7.0,,,,,
27,,14.0,,,,
28,11.0,,,,,
29,,,,,,9.0
30,,,,,,9.0
31,,,,,,11.0
32,7.0,,,,,
33,,,,,,11.0
34,,8.0,,,,
35,,,,,,9.0
36,11.0,,,,,
37,11.0,,,,,
38,,14.0,,,,
39,7.0,,,,,
40,7.0,,,,,
41,7.0,,,,,
42,,,,,,9.0
43,15.0,,,,,
44,,12.0,,,,
45,,,,,,17.0
46,,,,,,9.0
47,11.0,,,,,
48,,,,,,13.0
49,7.0,,,,,
