,ZERO_v3_started_ZERO_v3_won,ZEROX_v3_started_ZERO_v3_won,ZERO_v3_started_Tie,ZEROX_v3_started_Tie,ZERO_v3_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,16.0,,,,
1,11.0,,,,,
2,,,,,,7.0
3,,,,,,9.0
4,,,,,,9.0
5,9.0,,,,,
6,9.0,,,,,
7,,,,,,27.0
8,19.0,,,,,
9,,,,,,7.0
10,17.0,,,,,
11,9.0,,,,,
12,17.0,,,,,
13,,,,,,9.0
14,15.0,,,,,
15,13.0,,,,,
16,9.0,,,,,
17,9.0,,,,,
18,,,,,,13.0
19,9.0,,,,,
20,,,,,,9.0
21,9.0,,,,,
22,15.0,,,,,
23,,,,,,11.0
24,21.0,,,,,
25,,,,,,9.0
26,9.0,,,,,
27,,,,,,13.0
28,,,,,,9.0
29,13.0,,,,,
30,,,,,14.0,
31,,,,,,27.0
32,,,,,,9.0
33,9.0,,,,,
34,9.0,,,,,
35,9.0,,,,,
36,13.0,,,,,
37,,,,,,11.0
38,,,,,18.0,
39,,18.0,,,,
40,11.0,,,,,
41,,,,,,13.0
42,,,,,,9.0
43,,16.0,,,,
44,,16.0,,,,
45,9.0,,,,,
46,,10.0,,,,
47,,,,,12.0,
48,,,,,14.0,
49,,,,,,7.0
