,FLAT_v3_started_FLAT_v3_won,ZEROX_v3_started_FLAT_v3_won,FLAT_v3_started_Tie,ZEROX_v3_started_Tie,FLAT_v3_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,9.0,,,,,
1,,,,,14.0,
2,7.0,,,,,
3,11.0,,,,,
4,9.0,,,,,
5,,,,,,9.0
6,,,,,16.0,
7,,,,,,11.0
8,9.0,,,,,
9,,,,,,13.0
10,,,,,,13.0
11,,,,,,15.0
12,,,,,,9.0
13,,,,,16.0,
14,,,,,10.0,
15,,,,,,7.0
16,,,,,10.0,
17,,,,,10.0,
18,,,,,12.0,
19,,,,,,9.0
20,,,,,,7.0
21,,,,,14.0,
22,9.0,,,,,
23,,,,,10.0,
24,,,,,14.0,
25,,,,,,9.0
26,,,,,,11.0
27,,,,,10.0,
28,,,,,,7.0
29,,,,,,9.0
30,11.0,,,,,
31,13.0,,,,,
32,,,,,,9.0
33,9.0,,,,,
34,,,,,,9.0
35,9.0,,,,,
36,,,,,,13.0
37,,,,,8.0,
38,,,,,,7.0
39,,,,,,15.0
40,,,,,12.0,
41,,,,,,15.0
42,,,,,,9.0
43,7.0,,,,,
44,9.0,,,,,
45,,,,,,9.0
46,9.0,,,,,
47,9.0,,,,,
48,,,,,10.0,
49,,,,,,13.0
