,ZERO_v1_started_ZERO_v1_won,ZEROX_v1_started_ZERO_v1_won,ZERO_v1_started_Tie,ZEROX_v1_started_Tie,ZERO_v1_started_ZEROX_v1_won,ZEROX_v1_started_ZEROX_v1_won
0,13.0,,,,,
1,11.0,,,,,
2,,12.0,,,,
3,,,,,,11.0
4,,,,,,7.0
5,17.0,,,,,
6,,,,,26.0,
7,,,,,,17.0
8,,,,,,13.0
9,,8.0,,,,
10,,,,,,9.0
11,,,,,,13.0
12,,,,,,21.0
13,13.0,,,,,
14,7.0,,,,,
15,,,,,14.0,
16,23.0,,,,,
17,,,,,,27.0
18,11.0,,,,,
19,15.0,,,,,
20,,,,,12.0,
21,,,,,,13.0
22,,,,,12.0,
23,,12.0,,,,
24,,,,,,21.0
25,,,,,,11.0
26,11.0,,,,,
27,,,,36.0,,
28,,,,,12.0,
29,,,,,,13.0
30,7.0,,,,,
31,,,36.0,,,
32,,,,,,9.0
33,9.0,,,,,
34,13.0,,,,,
35,,,,,32.0,
36,,,,,14.0,
37,7.0,,,,,
38,,,,,8.0,
39,21.0,,,,,
40,,,,,,11.0
41,,,,,,15.0
42,,,,,,13.0
43,,,,,,11.0
44,,,,,,13.0
45,11.0,,,,,
46,,,,,12.0,
47,,,,,,13.0
48,11.0,,,,,
49,,,,,,11.0
