,ZEROX_v2_started_ZEROX_v2_won,UCT_5000_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_5000_started_Tie,ZEROX_v2_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,,,,,,9.0
1,,,,,,11.0
2,,,,,,11.0
3,7.0,,,,,
4,9.0,,,,,
5,,,,,,17.0
6,7.0,,,,,
7,11.0,,,,,
8,,,,,,17.0
9,,10.0,,,,
10,,,,,,11.0
11,7.0,,,,,
12,7.0,,,,,
13,,14.0,,,,
14,,14.0,,,,
15,,,,,,11.0
16,,,,,,11.0
17,7.0,,,,,
18,,10.0,,,,
19,,,36.0,,,
20,,,,,,11.0
21,,,,,,17.0
22,,,,,,19.0
23,11.0,,,,,
24,7.0,,,,,
25,7.0,,,,,
26,7.0,,,,,
27,,14.0,,,,
28,11.0,,,,,
29,,14.0,,,,
30,7.0,,,,,
31,,14.0,,,,
32,,,,,,19.0
33,11.0,,,,,
34,11.0,,,,,
35,,,,,,11.0
36,11.0,,,,,
37,,14.0,,,,
38,,,,,,17.0
39,9.0,,,,,
40,7.0,,,,,
41,7.0,,,,,
42,,14.0,,,,
43,11.0,,,,,
44,,,,36.0,,
45,,,,,,11.0
46,13.0,,,,,
47,11.0,,,,,
48,7.0,,,,,
49,9.0,,,,,
