,FLAT_v2_started_FLAT_v2_won,ZEROX_v2_started_FLAT_v2_won,FLAT_v2_started_Tie,ZEROX_v2_started_Tie,FLAT_v2_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,13.0,,,,,
1,,,,,,11.0
2,11.0,,,,,
3,,,,,,13.0
4,,,,,12.0,
5,9.0,,,,,
6,,,,,10.0,
7,9.0,,,,,
8,,,,,,17.0
9,,,,,,11.0
10,,,,,,13.0
11,,,,,,11.0
12,,,,,,11.0
13,,,,,,11.0
14,,,,,,7.0
15,,,,,,9.0
16,,,,,10.0,
17,,,,,,17.0
18,,,,,,13.0
19,,,,,12.0,
20,11.0,,,,,
21,13.0,,,,,
22,11.0,,,,,
23,,,,,,15.0
24,11.0,,,,,
25,,,,,,7.0
26,,,,,,9.0
27,15.0,,,,,
28,7.0,,,,,
29,21.0,,,,,
30,9.0,,,,,
31,,,,,8.0,
32,,,,,8.0,
33,,,,,,9.0
34,,,,,,13.0
35,,,,,12.0,
36,,,,,,7.0
37,9.0,,,,,
38,,,,,30.0,
39,,,,,8.0,
40,,,,,,11.0
41,,,,,,7.0
42,,,,,,13.0
43,,,,,,13.0
44,,,,,,13.0
45,,,,,,9.0
46,,,,,,9.0
47,13.0,,,,,
48,,,,,,15.0
49,,,,,18.0,
