,ZERO_v2_started_ZERO_v2_won,ZEROX_v2_started_ZERO_v2_won,ZERO_v2_started_Tie,ZEROX_v2_started_Tie,ZERO_v2_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,,,,,,9.0
1,,,,,,15.0
2,,,,,,17.0
3,15.0,,,,,
4,11.0,,,,,
5,11.0,,,,,
6,13.0,,,,,
7,,,,,,15.0
8,9.0,,,,,
9,,,,,,13.0
10,11.0,,,,,
11,,,,,12.0,
12,,,,,14.0,
13,,,,,14.0,
14,11.0,,,,,
15,,,,,28.0,
16,,,,,10.0,
17,15.0,,,,,
18,,,,,,15.0
19,,,,,,9.0
20,13.0,,,,,
21,11.0,,,,,
22,13.0,,,,,
23,,,,36.0,,
24,13.0,,,,,
25,,,,,,15.0
26,,,,,,11.0
27,11.0,,,,,
28,,,,,,13.0
29,9.0,,,,,
30,,,,,12.0,
31,,,,,10.0,
32,,,,,,13.0
33,19.0,,,,,
34,,,,,,7.0
35,7.0,,,,,
36,,,,,,13.0
37,7.0,,,,,
38,13.0,,,,,
39,,,,,,15.0
40,11.0,,,,,
41,,,,,,13.0
42,,,,,12.0,
43,,,,,,27.0
44,,,,,,9.0
45,,,,,,21.0
46,,,,,10.0,
47,13.0,,,,,
48,,10.0,,,,
49,,,,,,13.0
