,FLAT_v1_started_FLAT_v1_won,UCT_3000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_3000_started_Tie,FLAT_v1_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,15.0,,,,,
1,,,,,14.0,
2,,,,,12.0,
3,9.0,,,,,
4,,,,,14.0,
5,,,,,,9.0
6,,,,,,7.0
7,,,,,,11.0
8,,,,,,9.0
9,,,,,,9.0
10,,10.0,,,,
11,11.0,,,,,
12,,,,,12.0,
13,7.0,,,,,
14,,,,,14.0,
15,7.0,,,,,
16,,,,,,9.0
17,11.0,,,,,
18,,,,,18.0,
19,,,,,,7.0
20,,8.0,,,,
21,,,,,,11.0
22,,,,,,11.0
23,,,,,,9.0
24,,8.0,,,,
25,7.0,,,,,
26,,,,,,9.0
27,,,,,14.0,
28,7.0,,,,,
29,,,,,,11.0
30,,,,,14.0,
31,,,,,12.0,
32,,,,,16.0,
33,19.0,,,,,
34,,,,,,11.0
35,7.0,,,,,
36,,,,,14.0,
37,,,,,,9.0
38,,,,,14.0,
39,,,,,,9.0
40,,,,,,9.0
41,,,,,,7.0
42,7.0,,,,,
43,,,,,,11.0
44,,,,,,11.0
45,,,,,,9.0
46,,,,,,9.0
47,7.0,,,,,
48,,,,,10.0,
49,11.0,,,,,
