,FLAT_v3_started_FLAT_v3_won,UCT_1000_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_1000_started_Tie,FLAT_v3_started_UCT_1000_won,UCT_1000_started_UCT_1000_won
0,7.0,,,,,
1,,,,,,21.0
2,,8.0,,,,
3,,10.0,,,,
4,,8.0,,,,
5,,10.0,,,,
6,7.0,,,,,
7,7.0,,,,,
8,9.0,,,,,
9,7.0,,,,,
10,,8.0,,,,
11,,,,,26.0,
12,7.0,,,,,
13,7.0,,,,,
14,,14.0,,,,
15,,8.0,,,,
16,7.0,,,,,
17,7.0,,,,,
18,7.0,,,,,
19,,8.0,,,,
20,,,,,,7.0
21,7.0,,,,,
22,,,,,,11.0
23,9.0,,,,,
24,,10.0,,,,
25,,8.0,,,,
26,7.0,,,,,
27,,,,,,17.0
28,7.0,,,,,
29,7.0,,,,,
30,9.0,,,,,
31,7.0,,,,,
32,9.0,,,,,
33,,8.0,,,,
34,,10.0,,,,
35,,10.0,,,,
36,7.0,,,,,
37,,8.0,,,,
38,7.0,,,,,
39,,8.0,,,,
40,7.0,,,,,
41,,8.0,,,,
42,,8.0,,,,
43,7.0,,,,,
44,,8.0,,,,
45,9.0,,,,,
46,7.0,,,,,
47,,18.0,,,,
48,7.0,,,,,
49,,8.0,,,,
