,FLAT_v1_started_FLAT_v1_won,ZERO_v1_started_FLAT_v1_won,FLAT_v1_started_Tie,ZERO_v1_started_Tie,FLAT_v1_started_ZERO_v1_won,ZERO_v1_started_ZERO_v1_won
0,,,,,,19.0
1,,,,,10.0,
2,,,,,,25.0
3,,,,,,9.0
4,,,,,34.0,
5,,,,,,13.0
6,,,,,,17.0
7,,,,,,15.0
8,,,,,,11.0
9,,,,,8.0,
10,,,,,12.0,
11,11.0,,,,,
12,,,,,,9.0
13,,,,,12.0,
14,,,,,12.0,
15,11.0,,,,,
16,,,,,,15.0
17,,,,,10.0,
18,,,,,22.0,
19,,,,,,11.0
20,,,,,,7.0
21,,,36.0,,,
22,,,,,,9.0
23,,,,,,11.0
24,,,,,12.0,
25,,,,,,11.0
26,,,,,12.0,
27,,,,,10.0,
28,17.0,,,,,
29,,,,,16.0,
30,,,,,16.0,
31,,,,,12.0,
32,17.0,,,,,
33,11.0,,,,,
34,11.0,,,,,
35,,,,,,13.0
36,13.0,,,,,
37,,,,,,13.0
38,,,,,,11.0
39,,,,,,11.0
40,,,,,,17.0
41,,,,,,13.0
42,,,,,,17.0
43,,,,,,25.0
44,,,,,,19.0
45,,,,,,9.0
46,,,,,12.0,
47,,,,,,17.0
48,,,,,10.0,
49,,,,,10.0,
