,ZEROX_v3_started_ZEROX_v3_won,UCT_5000_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_5000_started_Tie,ZEROX_v3_started_UCT_5000_won,UCT_5000_started_UCT_5000_won
0,,,,,,11.0
1,,,,,,11.0
2,7.0,,,,,
3,11.0,,,,,
4,,,,,,9.0
5,9.0,,,,,
6,,,,,,13.0
7,,,,,,11.0
8,11.0,,,,,
9,,14.0,,,,
10,11.0,,,,,
11,11.0,,,,,
12,7.0,,,,,
13,,12.0,,,,
14,,12.0,,,,
15,7.0,,,,,
16,7.0,,,,,
17,,,,,,17.0
18,,14.0,,,,
19,,12.0,,,,
20,,12.0,,,,
21,,,,,,9.0
22,9.0,,,,,
23,,14.0,,,,
24,11.0,,,,,
25,,,,,,11.0
26,11.0,,,,,
27,,14.0,,,,
28,9.0,,,,,
29,,,,,,27.0
30,,10.0,,,,
31,7.0,,,,,
32,7.0,,,,,
33,,14.0,,,,
34,,,,,,17.0
35,11.0,,,,,
36,,14.0,,,,
37,,,,,,11.0
38,,,,,,17.0
39,11.0,,,,,
40,,14.0,,,,
41,7.0,,,,,
42,11.0,,,,,
43,,,,,,11.0
44,,,,,,17.0
45,,,,,,13.0
46,,10.0,,,,
47,11.0,,,,,
48,,14.0,,,,
49,,10.0,,,,
