,FLAT_v3_started_FLAT_v3_won,UCT_2000_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_2000_started_Tie,FLAT_v3_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,,,,,9.0
1,11.0,,,,,
2,,,,,,13.0
3,7.0,,,,,
4,7.0,,,,,
5,,12.0,,,,
6,7.0,,,,,
7,,,,,,11.0
8,,12.0,,,,
9,7.0,,,,,
10,7.0,,,,,
11,7.0,,,,,
12,7.0,,,,,
13,,10.0,,,,
14,7.0,,,,,
15,7.0,,,,,
16,,,,,,13.0
17,7.0,,,,,
18,,,,,,7.0
19,9.0,,,,,
20,,14.0,,,,
21,,,,,,7.0
22,,8.0,,,,
23,7.0,,,,,
24,,,,,,13.0
25,,,,,,11.0
26,9.0,,,,,
27,7.0,,,,,
28,,,,,18.0,
29,7.0,,,,,
30,,12.0,,,,
31,,,,,,11.0
32,7.0,,,,,
33,11.0,,,,,
34,,,,,,11.0
35,,14.0,,,,
36,,,,,,11.0
37,,8.0,,,,
38,11.0,,,,,
39,,8.0,,,,
40,,12.0,,,,
41,7.0,,,,,
42,,10.0,,,,
43,7.0,,,,,
44,7.0,,,,,
45,11.0,,,,,
46,7.0,,,,,
47,7.0,,,,,
48,13.0,,,,,
49,,,,,,11.0
