,ZEROX_v1_started_ZEROX_v1_won,UCT_2000_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_2000_started_Tie,ZEROX_v1_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,7.0,,,,,
1,11.0,,,,,
2,15.0,,,,,
3,7.0,,,,,
4,13.0,,,,,
5,13.0,,,,,
6,11.0,,,,,
7,7.0,,,,,
8,,8.0,,,,
9,,,,,,7.0
10,,,,,10.0,
11,11.0,,,,,
12,13.0,,,,,
13,,8.0,,,,
14,,10.0,,,,
15,,,,,,7.0
16,,8.0,,,,
17,7.0,,,,,
18,13.0,,,,,
19,15.0,,,,,
20,,,,,10.0,
21,,,,,,7.0
22,11.0,,,,,
23,,,,,14.0,
24,11.0,,,,,
25,,,,,14.0,
26,,16.0,,,,
27,,12.0,,,,
28,,,,,,11.0
29,,12.0,,,,
30,,,,,10.0,
31,7.0,,,,,
32,17.0,,,,,
33,7.0,,,,,
34,,8.0,,,,
35,,14.0,,,,
36,,,,,,7.0
37,,,,,,9.0
38,,8.0,,,,
39,7.0,,,,,
40,,10.0,,,,
41,,,,,,9.0
42,,,,,,13.0
43,,10.0,,,,
44,7.0,,,,,
45,,,,,,17.0
46,,,,,,7.0
47,,,,,,7.0
48,,,,,,7.0
49,,,,,,7.0
