,FLAT_v2_started_FLAT_v2_won,UCT_3000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_3000_started_Tie,FLAT_v2_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,7.0,,,,,
1,,,,,,11.0
2,17.0,,,,,
3,7.0,,,,,
4,7.0,,,,,
5,7.0,,,,,
6,7.0,,,,,
7,7.0,,,,,
8,11.0,,,,,
9,,,,,,19.0
10,11.0,,,,,
11,7.0,,,,,
12,9.0,,,,,
13,,,,,14.0,
14,,14.0,,,,
15,,,,,,9.0
16,,10.0,,,,
17,,14.0,,,,
18,7.0,,,,,
19,7.0,,,,,
20,,10.0,,,,
21,7.0,,,,,
22,,,,,,19.0
23,9.0,,,,,
24,,,,,,13.0
25,11.0,,,,,
26,7.0,,,,,
27,7.0,,,,,
28,,,,,,11.0
29,7.0,,,,,
30,,,,,18.0,
31,11.0,,,,,
32,7.0,,,,,
33,,10.0,,,,
34,7.0,,,,,
35,7.0,,,,,
36,7.0,,,,,
37,,8.0,,,,
38,7.0,,,,,
39,,10.0,,,,
40,,8.0,,,,
41,,10.0,,,,
42,11.0,,,,,
43,9.0,,,,,
44,,10.0,,,,
45,,10.0,,,,
46,,10.0,,,,
47,,,,,,13.0
48,,8.0,,,,
49,,,,,,7.0
