,ZERO_v2_started_ZERO_v2_won,UCT_3000_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_3000_started_Tie,ZERO_v2_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,7.0,,,,,
1,9.0,,,,,
2,7.0,,,,,
3,,,,,,11.0
4,7.0,,,,,
5,11.0,,,,,
6,,14.0,,,,
7,,,,,,15.0
8,,10.0,,,,
9,7.0,,,,,
10,7.0,,,,,
11,7.0,,,,,
12,,,,,,11.0
13,,,,,,11.0
14,,8.0,,,,
15,,,,,,11.0
16,,,,,,15.0
17,,,,,,13.0
18,7.0,,,,,
19,7.0,,,,,
20,7.0,,,,,
21,11.0,,,,,
22,,14.0,,,,
23,7.0,,,,,
24,,10.0,,,,
25,7.0,,,,,
26,,10.0,,,,
27,7.0,,,,,
28,,,,,,13.0
29,19.0,,,,,
30,7.0,,,,,
31,,,,,,11.0
32,,,,,,11.0
33,,14.0,,,,
34,,10.0,,,,
35,,,,,,13.0
36,7.0,,,,,
37,,,,,,13.0
38,,8.0,,,,
39,11.0,,,,,
40,,,,,,11.0
41,11.0,,,,,
42,7.0,,,,,
43,7.0,,,,,
44,9.0,,,,,
45,,,,,,17.0
46,,12.0,,,,
47,,,,,,23.0
48,7.0,,,,,
49,,8.0,,,,
