,FLAT_v2_started_FLAT_v2_won,ZERO_v2_started_FLAT_v2_won,FLAT_v2_started_Tie,ZERO_v2_started_Tie,FLAT_v2_started_ZERO_v2_won,ZERO_v2_started_ZERO_v2_won
0,,,,,16.0,
1,11.0,,,,,
2,,,,,12.0,
3,11.0,,,,,
4,,12.0,,,,
5,,,,,,11.0
6,,,,,10.0,
7,,,,,,11.0
8,11.0,,,,,
9,,,,,,11.0
10,,,,,8.0,
11,,,,,,9.0
12,,,,,,9.0
13,,,,,,21.0
14,,,,,,15.0
15,,,,,,13.0
16,,,,,,17.0
17,,,,,,11.0
18,13.0,,,,,
19,,,,,8.0,
20,,,,,10.0,
21,,,,,10.0,
22,,,,36.0,,
23,,,,,,13.0
24,15.0,,,,,
25,,,,,,13.0
26,9.0,,,,,
27,,,,,,13.0
28,,,,,,15.0
29,,,,,,11.0
30,,,,,,11.0
31,,,,,14.0,
32,,,,,,13.0
33,,,,,,17.0
34,,,,,,15.0
35,,,,,,9.0
36,,,,,,9.0
37,,,,,,7.0
38,11.0,,,,,
39,,,,,,9.0
40,,,,,,13.0
41,,,,,18.0,
42,,,,,,9.0
43,,,,,,11.0
44,11.0,,,,,
45,,,,,,11.0
46,,,,,,13.0
47,,,,,14.0,
48,,,,,10.0,
49,,,,,14.0,
