,ZERO_v3_started_ZERO_v3_won,UCT_3000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_3000_started_Tie,ZERO_v3_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,7.0,,,,,
1,,,,,,9.0
2,7.0,,,,,
3,11.0,,,,,
4,11.0,,,,,
5,7.0,,,,,
6,,,,,,15.0
7,,,,,24.0,
8,,,,,,9.0
9,,8.0,,,,
10,,10.0,,,,
11,,,,,,27.0
12,7.0,,,,,
13,7.0,,,,,
14,,8.0,,,,
15,,,,,,17.0
16,,8.0,,,,
17,7.0,,,,,
18,7.0,,,,,
19,,10.0,,,,
20,13.0,,,,,
21,13.0,,,,,
22,,,,,,17.0
23,,,,,,7.0
24,7.0,,,,,
25,7.0,,,,,
26,7.0,,,,,
27,,,,,,11.0
28,7.0,,,,,
29,,8.0,,,,
30,,,,,,9.0
31,,,,,,17.0
32,9.0,,,,,
33,9.0,,,,,
34,,,,,,11.0
35,,,,,,9.0
36,7.0,,,,,
37,,,,,,11.0
38,7.0,,,,,
39,,10.0,,,,
40,,,,,,9.0
41,7.0,,,,,
42,19.0,,,,,
43,,8.0,,,,
44,11.0,,,,,
45,11.0,,,,,
46,,,,,,9.0
47,,12.0,,,,
48,11.0,,,,,
49,9.0,,,,,
