,ZERO_v1_started_ZERO_v1_won,UCT_4000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_4000_started_Tie,ZERO_v1_started_UCT_4000_won,UCT_4000_started_UCT_4000_won
0,,,,,14.0,
1,,,,,14.0,
2,,,,,,17.0
3,,,,,,7.0
4,,,,,14.0,
5,,,,,,7.0
6,,,,,,7.0
7,,,,,,7.0
8,,,,,,17.0
9,,,,,,7.0
10,,,,,,7.0
11,,,,,,7.0
12,7.0,,,,,
13,,,,,14.0,
14,7.0,,,,,
15,17.0,,,,,
16,,,,,14.0,
17,17.0,,,,,
18,13.0,,,,,
19,,,,,,7.0
20,,,,,,7.0
21,,,,,,7.0
22,11.0,,,,,
23,,,,,14.0,
24,,14.0,,,,
25,,,,,,11.0
26,,12.0,,,,
27,,,,,14.0,
28,,14.0,,,,
29,13.0,,,,,
30,7.0,,,,,
31,,,,,,17.0
32,,,,,14.0,
33,,,,,,7.0
34,,,,,,7.0
35,,,,,,7.0
36,7.0,,,,,
37,,,,,14.0,
38,11.0,,,,,
39,,,,,,9.0
40,,,,,,11.0
41,11.0,,,,,
42,,,,,10.0,
43,,10.0,,,,
44,,,,,,17.0
45,11.0,,,,,
46,,,,,10.0,
47,,,,,,7.0
48,11.0,,,,,
49,,14.0,,,,
