,FLAT_v1_started_FLAT_v1_won,FLAT_v3_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v3_started_Tie,FLAT_v1_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,,,,,,7.0
1,,,,,22.0,
2,,,,,,7.0
3,13.0,,,,,
4,,,,,,7.0
5,,20.0,,,,
6,,,,,12.0,
7,,,,,14.0,
8,,,,,,9.0
9,,,,,,7.0
10,21.0,,,,,
11,21.0,,,,,
12,9.0,,,,,
13,9.0,,,,,
14,,,,,,9.0
15,,,,,,13.0
16,15.0,,,,,
17,,,,,36.0,
18,,,,,,11.0
19,,,,,,9.0
20,,,,,,9.0
21,,,,,,7.0
22,,,,,,9.0
23,15.0,,,,,
24,,,,,,13.0
25,,,,,,11.0
26,,,,,14.0,
27,15.0,,,,,
28,,,36.0,,,
29,,,,,20.0,
30,,,,,,7.0
31,,,,,,9.0
32,,,,,,9.0
33,9.0,,,,,
34,,,,,,11.0
35,,,,,10.0,
36,,,,,,9.0
37,,,,,12.0,
38,,,,,,11.0
39,,,,,,7.0
40,11.0,,,,,
41,,8.0,,,,
42,17.0,,,,,
43,,,,,,9.0
44,,,,,,9.0
45,,,,,,9.0
46,,,,,,7.0
47,,,,,,9.0
48,,14.0,,,,
49,,,,,,17.0
