,ZERO_v1_started_ZERO_v1_won,UCT_3000_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_3000_started_Tie,ZERO_v1_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,14.0,
1,,,,,16.0,
2,7.0,,,,,
3,11.0,,,,,
4,,,,,14.0,
5,,,,,,7.0
6,7.0,,,,,
7,,,,,,7.0
8,,,,,14.0,
9,11.0,,,,,
10,7.0,,,,,
11,,,,,,7.0
12,,,,,,13.0
13,9.0,,,,,
14,,8.0,,,,
15,,,,,10.0,
16,,,,,,11.0
17,,,,,14.0,
18,,14.0,,,,
19,,,,,,7.0
20,7.0,,,,,
21,,8.0,,,,
22,,,,,,7.0
23,11.0,,,,,
24,,14.0,,,,
25,9.0,,,,,
26,13.0,,,,,
27,,,,,16.0,
28,,,,,12.0,
29,,,,,14.0,
30,,,,,,21.0
31,,,,,,17.0
32,,,,,,7.0
33,9.0,,,,,
34,,,,,,11.0
35,,12.0,,,,
36,,,,,,7.0
37,11.0,,,,,
38,9.0,,,,,
39,,,,,,7.0
40,7.0,,,,,
41,,8.0,,,,
42,7.0,,,,,
43,11.0,,,,,
44,,,,,,17.0
45,,14.0,,,,
46,7.0,,,,,
47,11.0,,,,,
48,9.0,,,,,
49,,14.0,,,,
