,ZERO_v2_started_ZERO_v2_won,ZERO_v3_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v3_started_Tie,ZERO_v2_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,,,,,10.0,
1,,,,,,9.0
2,,,,36.0,,
3,7.0,,,,,
4,9.0,,,,,
5,,,,,,9.0
6,,,,,,17.0
7,,,,,,9.0
8,,,,,,9.0
9,,,,,,11.0
10,9.0,,,,,
11,,,,,16.0,
12,,,,36.0,,
13,9.0,,,,,
14,,10.0,,,,
15,,,,,,9.0
16,,,,,,13.0
17,,,,,,9.0
18,,,,,,7.0
19,9.0,,,,,
20,15.0,,,,,
21,11.0,,,,,
22,,,,,,13.0
23,,14.0,,,,
24,,,,,,11.0
25,,,,,,7.0
26,,,,,10.0,
27,,,,,,11.0
28,,,,,8.0,
29,,,,36.0,,
30,,,,,10.0,
31,,,,,,9.0
32,,12.0,,,,
33,,12.0,,,,
34,,,,,,13.0
35,13.0,,,,,
36,17.0,,,,,
37,7.0,,,,,
38,13.0,,,,,
39,13.0,,,,,
40,19.0,,,,,
41,11.0,,,,,
42,13.0,,,,,
43,7.0,,,,,
44,9.0,,,,,
45,,14.0,,,,
46,9.0,,,,,
47,17.0,,,,,
48,,,,,,13.0
49,,,,,,13.0
