,ZERO_v3_started_ZERO_v3_won,UCT_2000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_2000_started_Tie,ZERO_v3_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,,10.0,,,,
1,7.0,,,,,
2,,10.0,,,,
3,,8.0,,,,
4,9.0,,,,,
5,7.0,,,,,
6,9.0,,,,,
7,7.0,,,,,
8,9.0,,,,,
9,,,,,,9.0
10,7.0,,,,,
11,,,,,,9.0
12,7.0,,,,,
13,,,,,,11.0
14,,8.0,,,,
15,,10.0,,,,
16,,,,,,13.0
17,7.0,,,,,
18,,8.0,,,,
19,7.0,,,,,
20,11.0,,,,,
21,,,,,,11.0
22,,,,,,11.0
23,7.0,,,,,
24,,,,,,9.0
25,,8.0,,,,
26,,,,,,9.0
27,,,,,,25.0
28,7.0,,,,,
29,,8.0,,,,
30,,18.0,,,,
31,7.0,,,,,
32,11.0,,,,,
33,9.0,,,,,
34,7.0,,,,,
35,7.0,,,,,
36,,14.0,,,,
37,,8.0,,,,
38,9.0,,,,,
39,,,,,,9.0
40,7.0,,,,,
41,,10.0,,,,
42,,,,,,13.0
43,9.0,,,,,
44,7.0,,,,,
45,,8.0,,,,
46,7.0,,,,,
47,7.0,,,,,
48,7.0,,,,,
49,7.0,,,,,
