,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v3_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v3_started_Tie,ZEROX_v1_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,,7.0
1,,,36.0,,,
2,,,,,,9.0
3,,12.0,,,,
4,11.0,,,,,
5,11.0,,,,,
6,,,,,,7.0
7,,,,,,9.0
8,,,,,,7.0
9,,,,,12.0,
10,,,,,,9.0
11,9.0,,,,,
12,,,,,,9.0
13,,12.0,,,,
14,,,,,,13.0
15,9.0,,,,,
16,,,,,10.0,
17,13.0,,,,,
18,,,,,,9.0
19,13.0,,,,,
20,,,,,,9.0
21,,,,,,9.0
22,13.0,,,,,
23,,,,,,9.0
24,,,,,,7.0
25,,,,,12.0,
26,,,,,,7.0
27,11.0,,,,,
28,,,,,12.0,
29,21.0,,,,,
30,,,,,,9.0
31,,,,,,9.0
32,,,,,,9.0
33,,,,,,7.0
34,,,,,,9.0
35,,,,,,7.0
36,15.0,,,,,
37,7.0,,,,,
38,11.0,,,,,
39,9.0,,,,,
40,,,,,,7.0
41,,,,,,9.0
42,,,,,,9.0
43,,,,,,9.0
44,,,,,,7.0
45,11.0,,,,,
46,9.0,,,,,
47,15.0,,,,,
48,11.0,,,,,
49,,,,,,7.0
