,Flat_started_Flat_won,UCT6_started_Flat_won,Flat_started_Tie,UCT6_started_Tie,Flat_started_UCT6_won,UCT6_started_UCT6_won
0,33.0,,,,,
1,,,,,,17.0
2,,10.0,,,,
3,,,,,,19.0
4,,,,,20.0,
5,,,,,,21.0
6,11.0,,,,,
7,,,,,,17.0
8,,,,,16.0,
9,,,,,18.0,
