,ZEROX_v6_started_ZEROX_v6_won,UCT_6000_started_ZEROX_v6_won,ZEROX_v6_started_Tie,UCT_6000_started_Tie,ZEROX_v6_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,64.0,,
1,,,64.0,,,
2,,,64.0,,,
3,,,64.0,,,
4,,,,,,33.0
5,15.0,,,,,
6,,,64.0,,,
7,,,64.0,,,
8,9.0,,,,,
9,,,,,22.0,
10,,,,,,47.0
11,17.0,,,,,
12,15.0,,,,,
13,,,,,34.0,
14,15.0,,,,,
15,,12.0,,,,
16,,,,,,47.0
17,,,,64.0,,
18,37.0,,,,,
19,,,64.0,,,
20,9.0,,,,,
21,21.0,,,,,
22,,14.0,,,,
23,17.0,,,,,
24,,,,64.0,,
25,,,,,,31.0
26,,12.0,,,,
27,,,,,,15.0
28,,10.0,,,,
29,,,,,44.0,
30,,,,,,21.0
31,,,,,,23.0
32,,,,,26.0,
33,,,,,48.0,
34,,,,64.0,,
35,,,,,,33.0
36,,,,,40.0,
37,,,,,,41.0
38,,,,,,29.0
39,15.0,,,,,
40,,,64.0,,,
41,,,64.0,,,
42,,16.0,,,,
43,21.0,,,,,
44,,,,,,31.0
45,9.0,,,,,
46,9.0,,,,,
47,,,,64.0,,
48,,,,,30.0,
49,9.0,,,,,
