,ZERO_v2_started_ZERO_v2_won,UCT_3000_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_3000_started_Tie,ZERO_v2_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,,9.0
1,,,,,,17.0
2,,,,,,13.0
3,,,,,14.0,
4,,,,,14.0,
5,,,,,,19.0
6,,,,,,9.0
7,,,,,,19.0
8,,,,,,9.0
9,,,,,,17.0
10,,,,,,9.0
11,,10.0,,,,
12,,,,,,9.0
13,,10.0,,,,
14,,,,,,21.0
15,,,,,,9.0
16,,,,,26.0,
17,,16.0,,,,
18,,,,,,15.0
19,,,,,,11.0
20,,,,,34.0,
21,11.0,,,,,
22,,,,,,9.0
23,,,,,,23.0
24,,,,,,13.0
25,,,,,,25.0
26,,,,,,15.0
27,,,,,,9.0
28,,10.0,,,,
29,9.0,,,,,
30,9.0,,,,,
31,,,,,38.0,
32,,,,,,11.0
33,,,,,14.0,
34,,,64.0,,,
35,,,,,16.0,
36,,,,,14.0,
37,9.0,,,,,
38,,,,,24.0,
39,,,,,,9.0
40,,,,,,15.0
41,9.0,,,,,
42,,,,,18.0,
43,,,,,,15.0
44,,,,,,19.0
45,,14.0,,,,
46,13.0,,,,,
47,9.0,,,,,
48,,16.0,,,,
49,,,,,,9.0
