,FLAT_v1_started_FLAT_v1_won,UCT_6000_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_6000_started_Tie,FLAT_v1_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,23.0
1,,,,,,11.0
2,,,,,18.0,
3,,,,,12.0,
4,,,,,14.0,
5,,,,,,11.0
6,,,,,14.0,
7,,,,,,9.0
8,,,,,,11.0
9,,,,,14.0,
10,,,,,,11.0
11,,,,,12.0,
12,,,,,,15.0
13,,,,,12.0,
14,,,,,,15.0
15,,,,,,13.0
16,,,,,14.0,
17,,,,,20.0,
18,,,,,12.0,
19,,,,,,9.0
20,,,,,16.0,
21,,,,,,11.0
22,,,,,,11.0
23,13.0,,,,,
24,,,,,12.0,
25,,,,,,11.0
26,,,,,18.0,
27,,,,,,11.0
28,,,,,12.0,
29,,,,,12.0,
30,,,,,12.0,
31,,,,,,9.0
32,,,,,18.0,
33,,,,,,9.0
34,,,,,,9.0
35,,,,,18.0,
36,,,,,,9.0
37,,,,,16.0,
38,,,,,12.0,
39,,,,,,17.0
40,,,,,28.0,
41,,,,,,9.0
42,,,,,12.0,
43,,,,,14.0,
44,,,,,16.0,
45,9.0,,,,,
46,,,,,,9.0
47,,,,,,13.0
48,,,,,,9.0
49,,,,,,21.0
