,FLAT_v2_started_FLAT_v2_won,ZEROX_v2_started_FLAT_v2_won,FLAT_v2_started_Tie,ZEROX_v2_started_Tie,FLAT_v2_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,,,,,,9.0
1,,,,,38.0,
2,,,,,12.0,
3,,,,,12.0,
4,,,,,,31.0
5,,,,,,19.0
6,,,,,18.0,
7,,,,,,23.0
8,,,,,,25.0
9,,,,,,19.0
10,41.0,,,,,
11,,,,,,15.0
12,,,,,28.0,
13,,,,,,9.0
14,,,,,,29.0
15,,,,,36.0,
16,,,,,26.0,
17,,,,,,35.0
18,,,,,24.0,
19,,,,,,37.0
20,,,,,,15.0
21,,,,,30.0,
22,,,,,20.0,
23,,,,,18.0,
24,,,,,,43.0
25,,,,,18.0,
26,,,,,,25.0
27,,,,,,21.0
28,,,,,24.0,
29,,,,,,11.0
30,,,,,24.0,
31,,,,,28.0,
32,,,,,14.0,
33,,,,,16.0,
34,,,,,,15.0
35,,,,,,33.0
36,,,,,,33.0
37,,,,,,19.0
38,,,,,14.0,
39,,,,,,17.0
40,31.0,,,,,
41,,,,,,43.0
42,,,,,,19.0
43,,,,,,27.0
44,,,,,12.0,
45,,,,,,19.0
46,,,,,,13.0
47,,,,,,37.0
48,,,,,,11.0
49,,,,,,11.0
