,FLAT_v3_started_FLAT_v3_won,ZERO_v3_started_FLAT_v3_won,FLAT_v3_started_Tie,ZERO_v3_started_Tie,FLAT_v3_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,25.0,,,,,
1,,,,,12.0,
2,,,,,,11.0
3,,,,,,35.0
4,,,,,,21.0
5,,,,,10.0,
6,,,,,36.0,
7,,,,,14.0,
8,,,,,14.0,
9,,,,,14.0,
10,,,,,16.0,
11,,,,,20.0,
12,,,,,16.0,
13,,,,,10.0,
14,,,,,14.0,
15,,,,,20.0,
16,,,,,34.0,
17,,,,,,35.0
18,,,,,30.0,
19,,,,,,11.0
20,,,,,,11.0
21,,,,,14.0,
22,,30.0,,,,
23,,,,64.0,,
24,,,,64.0,,
25,,,,,10.0,
26,,22.0,,,,
27,,,,,,11.0
28,,,,,,37.0
29,,,,,,15.0
30,,,,,,25.0
31,,,,,16.0,
32,,,,,,17.0
33,,,,,16.0,
34,,,,,12.0,
35,,,,,,19.0
36,,,,,,43.0
37,,,,,12.0,
38,,,,,,25.0
39,,,,,12.0,
40,,,,,,9.0
41,,,,,12.0,
42,,,,,,35.0
43,,,,,,9.0
44,,,,,,13.0
45,,,,,,29.0
46,,,,,20.0,
47,,,,,,19.0
48,,,,,20.0,
49,,,,64.0,,
